idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,saldoTruco,saldoEnvido,saldoFlor
10,1,7,4,3,16,12,6,7,12,10,6,10,0,2,2,2,1,0,0,27,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,17,11,18,1,1,0,0,0,0,4,4,2,4,2,4,4,2,0,1,0,0,0,0,14,34,1,0,1,1,0
42,1,7,3,1,8,7,2,7,8,1,7,15,0,2,2,2,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,13,12,14,0,0,0,0,0,0,2,4,2,4,1,4,2,4,2,1,0,0,0,0,11,17,0,0,1,2,0
50,1,8,3,1,16,6,2,8,16,10,6,10,0,2,2,2,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,6,2,1,1,0,0,0,0,1,2,2,2,3,2,1,2,0,3,0,0,0,0,12,24,0,0,1,5,0
62,1,6,3,1,24,12,8,6,8,10,12,10,0,2,2,2,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,2,7,1,1,0,0,0,0,3,1,2,3,4,3,3,2,0,4,0,0,0,0,10,44,0,0,1,1,0
73,1,7,6,3,16,4,3,3,4,10,16,10,0,2,2,2,2,0,0,6,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,25,0,2,1,1,0,0,0,0,1,2,3,4,3,4,3,3,0,4,0,0,0,0,16,23,0,1,1,1,0
76,2,2,2,1,6,3,3,1,6,2,3,15,0,2,2,2,1,0,0,5,32,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,6,5,0,0,0,0,0,0,3,2,3,2,2,2,3,2,3,2,0,0,0,0,5,12,1,0,1,2,0
91,1,6,4,3,24,16,8,4,16,1,24,15,0,2,2,2,0,0,1,33,25,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,5,5,6,0,0,0,0,0,0,1,3,3,2,2,2,3,2,3,2,0,0,0,0,13,48,1,0,1,1,0
109,1,6,6,1,16,12,6,1,6,6,12,15,0,2,2,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,20,25,0,1,0,0,0,0,0,0,1,4,3,3,2,3,3,3,4,2,0,0,0,0,13,34,0,0,1,1,0
119,1,7,1,1,24,12,8,1,8,10,12,10,0,2,2,2,1,0,0,4,24,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,14,14,15,1,1,0,0,0,0,1,2,1,4,4,4,1,3,0,4,0,0,0,0,9,44,1,0,1,2,0
128,1,2,1,1,6,4,3,10,1,10,1,10,1,2,2,2,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,6,6,7,1,1,0,0,0,0,1,4,2,2,3,2,0,0,0,0,0,0,0,0,4,13,0,0,1,1,0
