idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,pontosEnvidoRobo,quemGanhouEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemGanhouFlor,quemTruco,quemRetruco,quemValeQuatro,quemNegouTruco,quemGanhouTruco,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo
1,2,52,8,2,52,16,2,16,15,1,1,2,130,1,0,5,1,0,0,0,0,2,0,0,1,2,1,3,4
2,1,24,16,4,16,4,4,7,46,6,1,2,1,1,0,29,1,0,0,0,0,1,0,0,2,1,2,4,4
3,2,12,8,4,4,1,8,16,15,1,1,2,130,2,0,27,2,0,0,0,0,2,0,0,1,2,2,4,4
4,1,24,4,1,24,6,1,8,15,1,1,2,130,1,0,31,1,0,0,0,0,2,0,0,1,2,1,4,4
5,2,50,12,3,12,4,3,6,46,7,1,2,1,2,0,6,2,0,0,0,0,1,0,0,2,1,3,4,1
6,1,16,16,2,16,1,2,6,10,40,10,2,2,2,0,5,2,0,0,0,0,2,0,0,0,2,2,1,4
7,2,24,2,1,24,2,1,7,15,1,1,2,130,1,0,29,1,0,0,0,0,2,0,0,1,2,1,2,2
8,1,16,6,3,6,12,16,3,3,6,2,1,2,1,0,6,1,0,0,0,0,0,0,0,0,2,3,4,3
9,2,16,8,7,7,2,8,3,46,0,1,1,1,0,0,22,0,2,0,0,0,0,0,0,0,1,1,1,4
10,1,7,4,3,7,12,10,6,10,0,2,2,2,1,0,27,1,0,0,0,0,0,0,0,0,2,4,4,2
11,2,8,3,1,46,1,46,1,46,1,1,1,1,0,0,26,0,0,0,0,0,0,0,0,0,1,2,2,1
12,1,42,16,2,16,24,42,7,15,1,2,1,2,1,0,27,1,0,0,0,0,2,0,0,1,2,1,2,2
13,2,50,24,12,46,1,46,1,46,1,1,1,1,2,0,3,2,0,0,0,0,0,0,0,0,1,3,2,4
14,1,42,24,8,24,24,42,1,46,1,0,1,1,2,0,23,2,0,0,0,0,1,0,0,0,1,1,3,3
15,2,24,6,1,6,3,1,7,46,8,1,2,1,1,0,4,1,0,0,0,0,1,0,0,2,1,4,1,3
16,1,50,16,1,16,24,50,8,15,1,2,1,2,0,0,4,0,0,0,0,0,2,0,0,1,2,3,1,4
17,1,24,8,8,8,3,46,1,46,1,1,1,1,1,0,3,1,0,0,0,0,1,0,0,2,1,1,4,1
18,2,16,12,8,16,1,46,1,46,1,1,1,1,0,0,2,0,2,0,0,0,1,0,0,2,1,1,4,2
19,1,16,8,4,16,24,8,7,15,1,2,1,2,1,0,22,2,0,0,0,0,2,0,0,1,2,2,2,4
20,2,7,6,1,7,6,6,7,15,1,1,2,130,1,0,4,1,0,0,0,0,2,0,0,1,2,1,2,1
21,1,8,7,2,8,2,7,1,46,1,1,1,1,1,0,5,1,0,0,0,0,0,0,0,0,1,1,4,1
22,2,50,6,3,3,1,6,42,46,1,1,1,1,2,0,6,2,0,0,0,0,2,0,0,0,1,3,2,1
23,1,40,12,6,6,7,12,1,40,52,2,1,2,1,0,28,1,0,0,0,0,2,0,0,0,2,2,2,4
24,2,50,16,16,16,1,16,1,46,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,3,4,1
25,1,16,7,2,16,1,7,8,15,1,1,2,130,1,0,5,1,0,0,0,0,1,2,0,1,2,1,2,1
26,2,16,6,2,6,6,46,7,46,1,0,1,1,1,0,22,1,0,0,0,0,1,0,0,2,1,1,1,4
27,1,16,8,3,16,1,46,1,46,1,1,1,1,1,0,6,2,0,0,0,0,0,0,0,0,1,2,4,1
28,2,52,50,7,50,2,7,24,52,6,1,2,1,0,0,21,0,0,0,0,0,1,2,1,0,1,1,3,3
29,1,52,7,7,7,1,46,1,46,1,1,1,1,2,0,21,2,0,0,0,0,0,0,0,0,1,1,1,3
30,2,50,4,3,3,2,4,16,50,52,1,2,2,2,0,28,1,0,0,0,0,2,1,2,0,2,3,3,4
31,1,8,7,2,8,12,46,1,15,1,130,130,130,2,0,5,2,0,0,0,0,2,0,0,1,2,4,1,3
32,2,52,24,2,24,3,2,7,52,12,1,2,1,2,0,5,2,0,0,0,0,1,0,0,0,1,1,2,4
33,1,16,7,2,16,24,7,3,15,1,2,1,2,2,0,5,2,0,0,0,0,2,0,0,1,2,1,3,4
34,1,16,7,2,16,24,2,2,15,0,2,0,2,2,0,5,2,0,0,0,0,0,0,0,0,2,3,1,2
35,2,24,16,3,16,12,3,3,46,0,1,0,1,2,0,6,2,0,0,0,0,0,0,0,0,1,4,3,1
36,1,24,3,1,24,24,10,0,10,0,0,2,2,0,0,29,0,0,0,0,0,0,0,0,0,2,4,4,1
37,2,16,3,2,3,3,46,1,15,1,0,130,130,1,0,31,1,0,0,0,0,2,0,0,1,2,1,4,4
38,1,24,4,1,24,2,4,8,15,1,1,2,130,0,0,31,0,0,0,0,0,2,0,0,1,2,3,4,4
39,2,42,40,8,46,1,46,1,46,1,1,1,1,1,0,7,2,0,0,0,0,1,0,0,2,1,1,2,1
40,1,42,8,2,2,6,42,12,8,7,2,1,1,0,0,7,0,0,0,0,0,0,0,0,0,1,1,4,2
41,2,24,8,7,7,2,8,42,24,6,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,1,2,3,4
42,1,7,3,1,7,8,1,7,15,0,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,2,2,4,2
43,2,24,24,6,6,2,24,16,46,0,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,3,2,4
44,1,24,7,3,24,42,7,3,3,8,2,1,2,2,0,26,2,0,0,0,0,1,0,0,0,2,2,3,3
45,2,8,6,2,8,7,6,12,46,1,1,1,1,0,0,20,0,0,0,0,0,2,1,0,2,1,1,1,4
46,1,12,7,6,12,16,6,3,7,4,2,1,1,2,0,20,2,0,0,0,0,0,0,0,0,1,2,3,3
47,2,12,8,3,3,1,12,7,46,0,1,1,1,0,0,27,0,1,0,0,0,0,0,0,0,1,4,4,4
48,1,8,2,1,1,0,46,1,15,1,130,130,130,0,0,5,0,0,0,0,0,2,0,0,1,2,4,1,3
49,2,7,4,1,4,3,1,1,46,1,1,1,1,2,0,31,1,0,0,0,0,0,0,0,0,1,2,4,4
50,1,8,3,1,8,16,10,6,10,0,2,2,2,0,0,30,0,0,0,0,0,0,0,0,0,2,1,2,2
51,2,12,2,2,12,8,2,3,15,1,1,2,130,0,0,26,0,0,0,0,0,2,0,0,1,2,4,4,3
52,2,24,12,6,6,4,12,16,24,3,1,2,1,0,0,3,0,0,0,0,0,2,0,0,0,1,1,2,3
53,1,16,8,8,8,24,8,7,46,1,2,1,1,2,0,22,2,0,0,0,0,1,0,0,2,1,1,1,4
54,2,8,7,1,1,24,7,4,8,1,2,1,1,2,0,4,2,0,0,0,0,0,0,0,0,1,1,2,3
55,1,50,12,1,1,2,12,3,50,40,2,1,1,0,0,4,0,2,0,0,0,1,0,0,0,1,3,4,2
56,2,42,24,8,8,7,24,52,42,16,1,2,1,1,0,7,1,0,0,0,0,1,0,0,0,1,1,4,1
57,1,24,16,16,16,2,46,1,46,1,1,1,1,0,0,3,2,0,0,0,0,1,0,0,2,1,3,1,3
58,2,16,16,3,3,24,16,12,16,1,2,1,1,0,0,6,0,0,0,0,0,1,2,0,0,1,1,3,1
59,2,16,2,1,1,0,46,1,15,1,130,130,130,2,0,5,2,0,0,0,0,2,0,0,1,2,3,1,2
60,1,24,7,1,24,50,7,2,15,1,2,1,2,2,0,4,2,0,0,0,0,1,2,0,1,2,3,2,1
61,2,24,8,6,6,1,24,24,46,0,1,0,1,0,0,3,0,2,0,0,0,1,0,0,0,1,1,4,2
62,1,6,3,1,6,8,10,12,10,0,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,2,3,1,2
63,2,50,8,7,8,7,7,16,50,4,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3,2,3
64,1,8,7,6,8,2,7,1,46,1,1,1,1,2,0,20,2,0,0,0,0,0,0,0,0,1,3,1,1
65,2,24,7,1,7,1,24,40,1,3,1,2,2,0,0,4,0,0,0,0,0,1,0,0,0,2,4,1,2
66,1,50,16,2,2,0,46,1,15,1,130,130,130,0,0,5,0,2,0,0,0,2,0,0,1,2,3,4,1
67,2,50,8,3,8,2,3,6,50,42,1,2,1,0,0,6,0,0,0,0,0,2,1,0,0,1,3,4,2
68,1,24,24,4,24,6,4,8,24,24,1,2,0,1,0,30,1,0,0,0,0,1,0,0,0,1,1,3,3
69,2,42,8,3,3,2,8,12,42,24,1,2,1,1,0,7,1,0,0,0,0,2,1,0,0,1,1,2,1
70,1,50,24,7,24,6,7,8,1,16,1,2,2,0,0,24,0,0,0,0,0,1,0,0,0,2,3,3,4
71,2,24,8,7,7,2,8,16,10,52,10,2,2,0,0,3,0,2,0,0,0,2,0,0,0,2,3,4,3
72,1,8,7,4,8,3,7,52,10,7,10,2,2,0,0,20,0,0,0,0,0,0,0,0,0,2,2,2,4
73,1,7,6,3,3,4,10,16,10,0,2,2,2,2,0,6,2,0,0,0,0,0,0,0,0,2,1,2,3
75,1,8,8,6,8,1,46,1,46,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,1,2,1,4
76,2,2,2,1,1,6,2,3,15,0,2,2,2,1,0,5,1,0,0,0,0,0,0,0,0,2,3,2,3
77,1,16,12,1,1,2,12,6,16,1,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,4,1
78,2,24,7,1,24,16,7,8,1,16,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,2,4,1,3
79,1,16,12,6,6,8,16,16,46,0,2,0,2,0,0,23,0,1,0,0,0,2,0,0,0,2,2,2,2
80,2,16,7,2,2,1,7,8,16,40,1,2,2,0,0,5,0,0,0,0,0,2,0,0,0,2,3,1,4
81,1,50,3,3,3,6,50,16,3,12,2,1,2,0,0,6,0,0,0,0,0,2,0,0,0,2,3,1,3
82,2,24,4,2,24,7,2,3,46,4,1,2,1,2,0,7,2,0,0,0,0,1,0,0,2,1,3,4,3
83,1,24,12,1,1,4,24,16,12,40,2,1,2,2,0,24,2,0,0,0,0,2,0,0,0,2,4,4,2
84,2,8,7,2,2,16,7,4,8,1,2,1,1,0,0,5,0,0,0,0,0,0,0,0,0,1,2,3,4
85,1,42,40,2,2,4,40,24,42,1,2,1,1,1,0,32,1,0,0,0,0,2,1,0,0,1,1,2,2
86,2,16,6,1,1,24,16,8,6,1,2,1,1,0,0,4,0,0,0,0,0,2,0,0,0,1,1,2,4
87,1,42,4,1,1,2,42,24,15,1,2,1,2,2,0,7,2,0,0,0,0,2,0,0,1,2,1,3,2
88,2,52,3,1,52,24,3,1,46,1,1,1,1,1,0,27,1,0,0,0,0,0,0,0,0,1,1,1,3
89,1,40,16,2,2,6,16,8,40,12,2,1,1,1,0,29,1,0,0,0,0,1,2,0,0,1,2,2,1
90,2,24,6,3,3,4,24,8,6,24,2,1,2,0,0,6,0,2,0,0,0,1,0,0,0,2,1,4,3
91,1,6,4,3,4,16,1,24,15,0,2,2,2,0,0,33,1,0,0,0,0,0,0,0,0,2,1,3,3
92,1,40,16,8,8,3,16,1,46,1,1,1,1,1,0,29,1,0,0,0,0,0,0,0,0,1,2,2,1
93,2,24,6,1,6,1,1,4,46,1,1,2,1,0,0,4,0,0,0,0,0,1,0,0,2,1,4,3,1
94,1,50,4,1,1,8,50,40,4,52,2,1,2,1,0,28,1,0,0,0,0,0,0,0,0,2,3,3,1
95,2,24,16,3,3,2,16,16,46,0,1,0,1,0,0,6,0,0,0,0,0,1,0,0,0,1,1,3,4
96,1,24,16,2,2,3,46,2,46,1,130,1,1,0,0,5,0,0,0,0,0,1,0,0,2,1,4,2,3
97,2,40,12,6,6,3,12,2,46,0,1,1,1,2,0,7,2,0,0,0,0,0,0,0,0,1,2,4,2
98,1,8,7,3,3,0,46,1,15,1,130,130,130,0,0,26,0,1,0,0,0,2,0,0,1,2,4,4,4
99,2,24,16,7,16,8,7,42,10,52,10,2,2,0,0,3,0,2,0,0,0,2,0,0,0,2,4,3,1
100,1,24,7,6,6,8,7,2,24,1,2,1,1,2,0,23,2,0,0,0,0,2,0,0,0,1,4,4,3
101,2,2,2,1,46,0,46,1,15,1,130,130,130,0,0,5,0,0,0,0,0,2,0,0,1,2,4,1,2
102,1,24,6,3,6,12,46,1,15,1,130,130,130,0,0,23,0,0,0,0,0,2,0,0,1,2,1,1,4
103,2,24,4,2,2,4,46,1,15,1,130,130,130,0,0,30,0,0,0,0,0,2,0,0,1,2,4,4,2
104,1,16,12,3,3,8,12,3,16,1,2,1,1,2,0,6,2,0,0,0,0,1,0,0,0,1,4,2,3
105,2,8,6,1,46,0,46,1,15,1,130,130,130,0,0,20,0,0,0,0,0,2,0,0,1,2,3,3,2
106,1,40,12,6,6,4,12,1,46,1,1,1,1,0,0,7,0,2,0,0,0,0,0,0,0,1,2,4,3
107,2,12,8,4,4,24,12,8,15,1,2,1,2,1,0,7,1,0,0,0,0,2,0,0,1,2,4,2,4
108,1,16,6,6,6,3,6,12,16,16,1,2,0,2,0,2,2,0,0,0,0,2,0,0,0,1,4,2,1
109,1,6,6,1,1,6,6,12,15,0,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,2,1,4,3
110,2,40,8,7,7,4,8,16,40,6,1,2,1,0,0,20,0,0,0,0,0,1,0,0,0,1,2,1,1
111,1,16,7,4,4,24,7,1,46,1,2,1,1,1,0,27,1,0,0,0,0,1,0,0,2,1,3,4,4
112,2,42,24,3,24,8,3,16,10,52,10,2,2,0,0,7,0,0,0,0,0,2,0,0,0,2,1,2,3
113,1,24,16,6,16,1,46,1,46,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,3
