jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,quemNegouEnvido,quemGanhouEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemGanhouFlor,quemTruco,quemRetruco,quemValeQuatro,quemNegouTruco,quemGanhouTruco,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo
2,52,8,2,52,16,2,16,15,1,1,2,130,1,0,0,5,2,1,0,0,0,0,2,0,0,1,2,1,3,4
2,12,8,4,4,1,8,16,15,1,1,2,130,2,0,1,27,0,2,0,0,0,0,2,0,0,1,2,2,4,4
2,50,12,3,12,4,3,6,46,7,1,2,1,2,0,0,6,1,2,0,0,0,0,1,0,0,2,1,3,4,1
2,24,2,1,24,2,1,7,15,1,1,2,130,1,0,0,29,2,1,0,0,0,0,2,0,0,1,2,1,2,2
2,16,8,7,7,2,8,3,46,0,1,1,1,0,0,0,22,0,0,2,0,0,0,0,0,0,0,1,1,1,4
2,8,3,1,46,1,46,1,46,1,1,1,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,2,2,1
2,50,24,12,46,1,46,1,46,1,1,1,1,2,0,0,3,1,2,0,0,0,0,0,0,0,0,1,3,2,4
2,24,6,1,6,3,1,7,46,8,1,2,1,1,0,0,4,2,1,0,0,0,0,1,0,0,2,1,4,1,3
2,16,12,8,16,1,46,1,46,1,1,1,1,0,0,0,2,0,0,2,0,0,0,1,0,0,2,1,1,4,2
2,7,6,1,7,6,6,7,15,1,1,2,130,1,0,0,4,2,1,0,0,0,0,2,0,0,1,2,1,2,1
2,50,6,3,3,1,6,42,46,1,1,1,1,2,0,0,6,1,2,0,0,0,0,2,0,0,0,1,3,2,1
2,50,16,16,16,1,16,1,46,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,4,1
2,16,6,2,6,6,46,7,46,1,0,1,1,1,0,0,22,2,1,0,0,0,0,1,0,0,2,1,1,1,4
2,52,50,7,50,2,7,24,52,6,1,2,1,0,0,0,21,0,0,0,0,0,0,1,2,1,0,1,1,3,3
2,50,4,3,3,2,4,16,50,52,1,2,2,2,0,0,28,0,1,0,0,0,0,2,1,2,0,2,3,3,4
2,52,24,2,24,3,2,7,52,12,1,2,1,2,0,0,5,1,2,0,0,0,0,1,0,0,0,1,1,2,4
2,24,16,3,16,12,3,3,46,0,1,0,1,2,0,0,6,1,2,0,0,0,0,0,0,0,0,1,4,3,1
2,16,3,2,3,3,46,1,15,1,0,130,130,1,0,0,31,0,1,0,0,0,0,2,0,0,1,2,1,4,4
2,42,40,8,46,1,46,1,46,1,1,1,1,1,0,0,7,0,2,0,0,0,0,1,0,0,2,1,1,2,1
2,24,8,7,7,2,8,42,24,6,1,2,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,2,3,4
2,24,24,6,6,2,24,16,46,0,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,3,2,4
2,8,6,2,8,7,6,12,46,1,1,1,1,0,0,0,20,0,0,0,0,0,0,2,1,0,2,1,1,1,4
2,12,8,3,3,1,12,7,46,0,1,1,1,0,0,0,27,0,0,1,0,0,0,0,0,0,0,1,4,4,4
2,7,4,1,4,3,1,1,46,1,1,1,1,2,0,1,31,0,1,0,0,0,0,0,0,0,0,1,2,4,4
2,12,2,2,12,8,2,3,15,1,1,2,130,0,0,0,26,0,0,0,0,0,0,2,0,0,1,2,4,4,3
2,24,12,6,6,4,12,16,24,3,1,2,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,1,2,3
2,8,7,1,1,24,7,4,8,1,2,1,1,2,0,0,4,1,2,0,0,0,0,0,0,0,0,1,1,2,3
2,42,24,8,8,7,24,52,42,16,1,2,1,1,0,0,7,2,1,0,0,0,0,1,0,0,0,1,1,4,1
2,16,16,3,3,24,16,12,16,1,2,1,1,0,0,0,6,0,0,0,0,0,0,1,2,0,0,1,1,3,1
2,16,2,1,1,0,46,1,15,1,130,130,130,2,0,0,5,1,2,0,0,0,0,2,0,0,1,2,3,1,2
2,24,8,6,6,1,24,24,46,0,1,0,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,1,1,4,2
2,50,8,7,8,7,7,16,50,4,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,3
2,24,7,1,7,1,24,40,1,3,1,2,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,4,1,2
2,50,8,3,8,2,3,6,50,42,1,2,1,0,0,0,6,0,0,0,0,0,0,2,1,0,0,1,3,4,2
2,42,8,3,3,2,8,12,42,24,1,2,1,1,0,0,7,2,1,0,0,0,0,2,1,0,0,1,1,2,1
2,24,8,7,7,2,8,16,10,52,10,2,2,0,0,0,3,0,0,2,0,0,0,2,0,0,0,2,3,4,3
2,2,2,1,1,6,2,3,15,0,2,2,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,2,3,2,3
2,24,7,1,24,16,7,8,1,16,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,1,3
2,16,7,2,2,1,7,8,16,40,1,2,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,2,3,1,4
2,24,4,2,24,7,2,3,46,4,1,2,1,2,0,0,7,0,2,0,0,0,0,1,0,0,2,1,3,4,3
2,8,7,2,2,16,7,4,8,1,2,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,3,4
2,16,6,1,1,24,16,8,6,1,2,1,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,1,2,4
2,52,3,1,52,24,3,1,46,1,1,1,1,1,0,0,27,0,1,0,0,0,0,0,0,0,0,1,1,1,3
2,24,6,3,3,4,24,8,6,24,2,1,2,0,0,0,6,0,0,2,0,0,0,1,0,0,0,2,1,4,3
2,24,6,1,6,1,1,4,46,1,1,2,1,0,0,0,4,0,0,0,0,0,0,1,0,0,2,1,4,3,1
2,24,16,3,3,2,16,16,46,0,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,1,3,4
2,40,12,6,6,3,12,2,46,0,1,1,1,2,0,0,7,0,2,0,0,0,0,0,0,0,0,1,2,4,2
2,24,16,7,16,8,7,42,10,52,10,2,2,0,0,0,3,0,0,2,0,0,0,2,0,0,0,2,4,3,1
2,2,2,1,46,0,46,1,15,1,130,130,130,0,0,0,5,0,0,0,0,0,0,2,0,0,1,2,4,1,2
2,24,4,2,2,4,46,1,15,1,130,130,130,0,0,0,30,0,0,0,0,0,0,2,0,0,1,2,4,4,2
2,8,6,1,46,0,46,1,15,1,130,130,130,0,0,0,20,0,0,0,0,0,0,2,0,0,1,2,3,3,2
2,12,8,4,4,24,12,8,15,1,2,1,2,1,0,0,7,2,1,0,0,0,0,2,0,0,1,2,4,2,4
2,40,8,7,7,4,8,16,40,6,1,2,1,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,2,1,1
2,42,24,3,24,8,3,16,10,52,10,2,2,0,0,0,7,0,0,0,0,0,0,2,0,0,0,2,1,2,3
2,16,7,3,3,6,16,7,7,24,2,1,2,0,0,0,6,0,0,2,0,0,0,1,2,1,0,2,2,3,1
2,50,24,3,3,8,24,8,50,1,2,1,1,0,0,0,24,0,0,0,0,0,0,1,0,0,0,1,3,3,1
2,7,3,1,1,1,46,1,15,1,0,130,130,0,0,0,30,0,0,1,0,0,0,2,0,0,1,2,2,2,2
2,16,12,7,7,3,12,50,16,7,1,2,1,1,0,0,2,2,1,0,0,0,0,1,2,0,0,1,3,2,1
2,24,16,7,46,0,46,1,15,1,130,130,130,0,0,0,25,0,0,0,0,0,0,2,0,0,1,2,1,1,2
2,12,12,3,3,2,12,16,12,3,1,2,1,2,0,0,6,1,2,0,0,0,0,1,2,0,0,1,2,4,1
2,6,3,1,1,7,46,1,46,1,1,1,1,2,0,0,6,1,2,0,0,0,0,0,0,0,0,1,1,3,1
2,12,12,2,12,2,2,4,46,6,1,1,1,2,0,0,5,1,2,0,0,0,0,2,1,0,2,1,2,4,3
2,24,6,4,4,7,24,8,15,1,2,1,2,2,0,0,23,1,2,0,0,0,0,2,0,0,1,2,2,2,3
2,16,3,2,16,12,2,1,15,1,1,2,2,2,0,0,6,0,1,0,0,0,0,2,0,0,1,2,1,3,1
2,12,6,2,6,2,2,42,46,1,1,1,1,2,0,0,5,1,2,0,0,0,0,2,1,0,2,1,4,1,2
2,16,4,4,4,2,4,24,46,3,1,1,1,2,0,0,7,1,2,0,0,0,0,2,1,0,2,1,2,3,4
2,6,4,2,2,6,4,1,46,1,2,1,1,0,0,1,32,0,1,0,0,0,0,1,0,0,2,1,2,4,4
2,3,3,2,3,4,10,8,10,0,2,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2,4,1
2,7,4,4,7,6,4,12,10,16,10,2,2,0,0,0,7,0,0,0,0,0,0,2,1,0,0,2,2,4,3
2,12,7,2,2,16,46,1,15,1,130,130,130,0,0,0,5,0,0,0,0,0,0,2,0,0,1,2,4,2,3
2,42,7,2,2,1,7,16,42,50,1,2,2,2,0,1,7,2,1,0,0,0,0,1,2,1,0,2,1,4,2
2,8,4,1,4,3,1,3,15,1,1,2,130,0,0,2,27,0,2,0,0,0,0,2,0,0,1,2,3,3,1
2,8,8,6,6,3,8,24,8,6,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,4,1
2,24,16,8,8,1,16,1,46,1,1,1,1,2,0,0,3,1,2,0,0,0,0,1,0,0,0,1,1,2,3
2,24,4,2,24,16,2,1,46,1,1,1,1,2,0,0,35,0,0,1,0,0,0,2,0,0,0,1,3,3,3
2,7,1,1,1,2,46,1,15,1,130,130,130,0,0,2,4,1,2,0,0,0,0,2,0,0,1,2,2,1,4
2,16,8,4,4,3,8,1,46,1,1,1,1,0,0,2,7,1,2,0,0,0,0,1,0,0,0,1,2,3,4
2,24,6,1,6,3,1,8,15,50,1,2,2,0,2,0,24,0,2,0,0,0,0,2,1,2,1,2,3,4,4
2,52,50,8,8,1,46,1,46,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,1,3,2
2,16,6,1,46,0,46,1,15,1,130,130,130,2,0,1,4,0,2,0,0,0,0,2,0,0,1,2,1,2,1
2,52,4,3,3,2,4,6,52,2,1,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,4,2
2,8,8,4,4,1,8,12,8,7,1,2,1,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,3,1,4
2,8,2,2,8,16,10,24,10,0,2,2,2,0,0,0,5,0,0,0,0,0,0,2,1,0,0,2,2,1,3
2,16,8,2,2,40,8,2,15,1,2,1,2,0,0,0,5,0,0,0,0,0,0,2,1,2,1,2,4,3,2
2,24,16,6,6,2,16,12,46,0,1,1,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,4,2,4
2,12,6,3,3,16,6,3,12,24,2,1,2,2,0,0,21,0,2,0,0,0,0,2,1,2,0,2,4,4,2
2,8,6,3,8,7,3,3,46,0,1,0,1,2,0,0,6,1,2,0,0,0,0,0,0,0,0,1,1,4,2
2,12,6,3,3,16,6,1,12,42,2,1,2,2,0,1,26,2,1,0,0,0,0,1,2,0,0,2,4,1,1
2,40,24,4,4,6,40,24,24,1,2,1,1,2,0,1,30,0,1,0,0,0,0,2,1,0,0,1,2,2,4
2,52,16,1,16,3,1,6,52,24,1,2,1,2,0,0,4,1,2,0,0,0,0,1,0,0,0,1,1,3,2
2,40,16,16,16,6,16,42,40,8,1,2,1,2,0,0,7,1,2,0,0,0,0,1,2,1,0,1,2,4,3
2,24,7,3,7,4,3,16,46,1,1,1,1,2,0,0,6,1,2,0,0,0,0,2,1,0,2,1,1,4,2
2,52,24,4,24,8,4,16,46,1,1,1,1,2,0,0,7,1,2,0,0,0,0,2,0,0,0,1,1,3,4
2,7,2,1,1,12,46,1,15,1,130,130,130,1,0,0,29,2,1,0,0,0,0,2,0,0,1,2,4,1,1
2,16,7,3,16,8,3,42,7,2,1,2,1,2,0,0,6,1,2,0,0,0,0,2,0,0,0,1,1,2,4
2,16,7,4,4,3,7,1,46,1,1,1,1,0,0,0,22,0,0,2,0,0,0,0,0,0,0,1,2,2,3
2,8,4,3,8,7,3,1,46,1,1,1,1,2,0,1,33,0,1,0,0,0,0,0,0,0,0,1,3,4,4
2,40,4,3,3,7,4,1,46,1,2,1,1,0,0,0,7,0,0,0,0,0,0,1,0,0,2,1,2,4,1
2,16,8,1,46,1,46,1,46,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,2,4
2,8,6,4,8,6,6,12,46,2,1,2,1,2,0,0,7,1,2,0,0,0,0,1,0,0,2,1,3,1,3
2,16,6,3,6,3,16,16,46,0,1,0,1,0,0,2,6,0,1,0,0,0,0,0,0,0,0,1,1,2,1
2,24,7,3,7,7,46,6,46,1,0,1,1,0,0,0,23,0,0,0,0,0,0,1,0,0,2,1,4,4,1
2,8,3,2,8,7,3,12,46,1,1,1,1,1,0,0,31,2,1,0,0,0,0,2,1,0,2,1,4,2,2
2,42,4,3,46,1,46,1,46,1,1,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,4,1
2,6,4,2,2,24,4,3,15,1,2,1,2,1,0,0,7,2,1,0,0,0,0,2,0,0,1,2,2,4,1
2,52,16,12,12,12,46,6,46,1,0,1,1,0,0,0,23,0,0,2,0,0,0,1,0,0,2,1,1,1,4
2,8,7,4,8,8,10,24,10,0,0,2,2,1,0,0,7,2,1,0,0,0,0,0,0,0,0,2,1,4,3
2,40,6,3,3,12,40,7,6,2,2,1,1,2,0,0,7,1,2,0,0,0,0,1,2,0,0,1,2,1,3
2,16,12,4,12,7,16,24,10,8,10,2,2,2,0,0,7,1,2,0,0,0,0,0,0,0,0,2,2,4,3
2,8,6,6,6,16,8,7,6,1,2,1,1,2,0,0,0,1,2,0,0,0,0,2,0,0,0,1,4,2,1
2,40,8,4,4,1,8,42,40,52,1,2,2,2,0,1,7,0,2,0,0,0,0,2,0,0,0,2,2,3,4
2,24,7,2,2,1,7,8,24,24,1,2,0,1,0,0,25,2,1,0,0,0,0,2,0,0,0,1,1,2,2
2,40,7,1,7,3,1,16,40,24,1,2,1,0,0,0,7,0,0,0,0,0,0,2,1,0,0,1,2,3,1
2,8,6,3,8,7,6,8,10,42,10,2,2,2,0,0,6,1,2,0,0,0,0,2,0,0,0,2,3,1,4
2,7,3,3,3,3,46,1,15,1,0,130,130,0,0,0,6,0,0,0,0,0,0,2,0,0,1,2,2,1,4
2,4,2,1,10,12,10,1,10,1,2,2,2,1,0,0,29,2,1,0,0,0,0,0,0,0,0,2,3,1,1
2,24,3,1,24,7,1,24,15,1,1,2,130,2,0,0,6,1,2,0,0,0,0,2,0,0,1,2,4,2,3
2,12,6,1,1,24,6,3,12,1,2,1,1,1,0,0,24,2,1,0,0,0,0,2,0,0,0,1,2,1,1
2,8,7,6,6,8,10,12,10,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3
2,40,24,16,24,24,46,4,46,1,0,1,1,2,0,1,7,0,1,0,0,0,0,1,0,0,2,1,2,4,2
2,50,24,2,24,7,2,3,50,16,1,2,1,2,0,0,5,1,2,0,0,0,0,2,1,0,0,1,3,4,2
